_id,height,mass,position,is_valid,age,sex
1,180,85,2,0,18,1
2,185,75,1,0,18,1
3,185,75,2,0,18,1
4,185,75,3,0,18,1
5,185,75,3,0,18,1
6,185,75,3,0,18,1
7,185,75,1,1,18,1
8,185,75,2,1,18,1
9,185,75,3,1,18,1
10,178,68,1,0,18,1
11,178,68,2,0,18,1
12,178,68,2,0,18,1
13,178,68,2,0,18,1
14,178,68,3,0,18,1
15,178,68,1,1,18,1
16,178,68,2,1,18,1
17,178,68,3,1,18,1
18,182,68,1,0,19,1
19,182,68,1,0,18,1
20,182,68,2,0,18,1
21,182,68,3,0,18,1
22,182,68,1,1,18,1
23,182,68,2,1,18,1
24,182,68,3,1,18,1
25,165,54,1,0,18,0
26,165,54,2,0,18,0
27,165,54,3,0,18,0
28,165,54,1,1,18,0
29,165,54,2,1,18,0
30,165,54,3,1,18,0
31,176,68,1,0,19,1
32,176,68,2,0,19,1
33,176,68,3,0,19,1
34,176,68,1,1,19,1
35,176,68,2,1,19,1
36,176,68,3,1,19,1
